filename,condition,sample_id,movie_id,source_file,frame_num,total_frames,batch_name
WT_550_02_f0014.png,WT,550,02,2_WT_550/02.avi,14,15,WT_550_02
WT_550_03_f0000.png,WT,550,03,2_WT_550/03.avi,0,15,WT_550_03
WT_550_03_f0002.png,WT,550,03,2_WT_550/03.avi,2,15,WT_550_03
WT_550_03_f0003.png,WT,550,03,2_WT_550/03.avi,3,15,WT_550_03
WT_550_03_f0005.png,WT,550,03,2_WT_550/03.avi,5,15,WT_550_03
WT_550_03_f0006.png,WT,550,03,2_WT_550/03.avi,6,15,WT_550_03
WT_550_03_f0008.png,WT,550,03,2_WT_550/03.avi,8,15,WT_550_03
WT_550_03_f0009.png,WT,550,03,2_WT_550/03.avi,9,15,WT_550_03
WT_550_03_f0011.png,WT,550,03,2_WT_550/03.avi,11,15,WT_550_03
WT_550_03_f0012.png,WT,550,03,2_WT_550/03.avi,12,15,WT_550_03
WT_550_03_f0014.png,WT,550,03,2_WT_550/03.avi,14,15,WT_550_03
WT_550_04_f0000.png,WT,550,04,2_WT_550/04.avi,0,15,WT_550_04
WT_550_04_f0002.png,WT,550,04,2_WT_550/04.avi,2,15,WT_550_04
WT_550_04_f0003.png,WT,550,04,2_WT_550/04.avi,3,15,WT_550_04
WT_550_04_f0005.png,WT,550,04,2_WT_550/04.avi,5,15,WT_550_04
WT_550_04_f0006.png,WT,550,04,2_WT_550/04.avi,6,15,WT_550_04
WT_550_04_f0008.png,WT,550,04,2_WT_550/04.avi,8,15,WT_550_04
WT_550_04_f0009.png,WT,550,04,2_WT_550/04.avi,9,15,WT_550_04
WT_550_04_f0011.png,WT,550,04,2_WT_550/04.avi,11,15,WT_550_04
WT_550_04_f0012.png,WT,550,04,2_WT_550/04.avi,12,15,WT_550_04
WT_550_04_f0014.png,WT,550,04,2_WT_550/04.avi,14,15,WT_550_04
WT_550_05_f0000.png,WT,550,05,2_WT_550/05.avi,0,15,WT_550_05
WT_550_05_f0002.png,WT,550,05,2_WT_550/05.avi,2,15,WT_550_05
WT_550_05_f0003.png,WT,550,05,2_WT_550/05.avi,3,15,WT_550_05
WT_550_05_f0005.png,WT,550,05,2_WT_550/05.avi,5,15,WT_550_05
WT_550_05_f0006.png,WT,550,05,2_WT_550/05.avi,6,15,WT_550_05
WT_550_05_f0008.png,WT,550,05,2_WT_550/05.avi,8,15,WT_550_05
WT_550_05_f0009.png,WT,550,05,2_WT_550/05.avi,9,15,WT_550_05
WT_550_05_f0011.png,WT,550,05,2_WT_550/05.avi,11,15,WT_550_05
WT_550_05_f0012.png,WT,550,05,2_WT_550/05.avi,12,15,WT_550_05
WT_550_05_f0014.png,WT,550,05,2_WT_550/05.avi,14,15,WT_550_05
